N,District,Price,Rooms,Totsp,Livesp,Kitsp,Brick,Floor,Nfloors,Dist,Metrdist,Walk,Bal,Tel,New
220,0,10500000,2,40.0,28.0,6.0,0,3,5,3.59,10,1,1,1,1
221,0,10500000,2,48.3,27.1,7.0,0,2,8,4.9,20,1,0,1,1
222,0,10500000,2,35.0,27.0,6.0,0,4,9,5.35,3,1,1,-,1
223,0,10598345,2,61.5,61.5,-,1,3,6,4.77,5,1,0,0,1
224,0,10598345,1,61.5,61.5,-,0,3,-,4.74,6,1,0,-,0
225,0,84000000,4,143.0,97.0,17.0,1,4,6,2.91,3,0,1,-,1
226,0,87859894,2,98.2,48.0,-,1,5,11,2.33,6,1,0,-,0
227,0,25700000,3,90.0,56.0,10.0,0,6,9,1.36,5,1,1,1,1
228,0,10598345,2,61.4,-,-,1,3,6,4.74,9,1,0,-,0
229,0,10600000,2,44.0,29.0,6.0,1,2,5,1.69,3,1,1,-,1
230,0,10775344,1,45.9,45.9,-,0,2,-,4.74,6,1,0,-,0
231,0,10795300,1,47.3,47.3,-,0,4,-,4.74,6,1,0,-,0
232,0,10800000,2,42.0,26.0,5.0,1,5,5,3.74,5,1,1,-,1
233,0,10800000,2,59.0,38.0,7.5,0,2,9,0.48,-,0,1,1,1
234,0,10817568,1,51.3,51.3,-,0,1,-,4.74,6,1,0,-,0
235,0,10859151,1,47.6,47.6,-,0,4,-,4.74,6,1,0,-,0
236,0,10900000,1,45.0,19.0,22.0,0,2,12,2.14,9,1,0,1,1
237,0,10900000,2,45.0,19.0,22.0,0,2,12,2.14,5,1,0,0,1
238,0,10900000,1,35.0,19.4,9.5,0,6,14,5.69,5,1,1,1,1
239,0,10900000,1,34.0,19.0,6.0,1,3,10,2.11,10,1,1,1,1
240,0,10900000,1,40.0,20.0,8.0,0,3,17,5.82,1,1,1,1,1
241,0,10900000,2,56.0,36.0,9.0,0,3,7,4.25,7,1,0,1,1
242,0,10900000,1,39.2,32.1,8.0,1,6,9,4.82,5,1,0,-,0
243,0,10900000,2,44.0,28.3,6.0,0,7,12,2.39,7,1,1,1,1
244,0,10950000,2,67.5,50.0,-,0,2,4,4.76,9,1,0,-,1
245,0,10958128,2,56.4,56.4,-,1,1,6,4.77,5,1,0,0,1
246,0,10987111,2,50.0,29.1,9.0,0,9,9,3.47,8,1,1,1,1
247,0,10987000,2,48.4,32.0,7.1,0,9,9,3.47,8,1,1,-,1
248,0,10999000,2,40.0,25.2,6.0,1,4,5,5.41,5,1,1,1,1
249,0,11000000,2,43.0,30.0,6.0,1,6,8,4.79,5,1,0,-,1
250,0,11000000,1,39.0,20.0,10.0,1,7,8,4.08,3,1,1,-,1
251,0,11000000,2,38.0,23.0,6.0,0,4,14,4.06,11,1,1,1,1
252,0,11000000,1,31.0,18.0,6.0,1,3,5,3.47,10,1,1,1,1
253,0,73000000,4,122.5,90.0,-,1,8,9,2.39,8,1,0,-,1
254,0,18000000,2,48.0,34.0,7.0,0,2,3,0.74,4,1,0,-,1
255,0,133510000,4,205.4,120.1,16.0,1,2,7,3.72,10,1,1,1,1
256,0,11000000,1,37.0,17.0,9.0,1,4,9,3.85,10,0,1,-,1
257,0,11000000,1,39.0,20.9,8.6,0,2,14,1.8,5,1,1,-,1
258,0,11000000,1,37.0,20.0,9.0,1,3,7,4.65,10,1,1,1,1
259,0,11000000,1,31.0,18.0,6.0,0,8,8,3.32,9,1,1,1,1
260,0,11000000,1,39.0,21.6,7.0,0,11,15,1.16,1,1,1,1,1
261,0,11000000,2,39.3,22.9,7.0,1,1,9,5.19,11,1,1,1,1
262,0,11150000,1,28.0,-,-,1,1,8,3.77,7,1,0,-,1
263,0,11160000,1,28.0,-,-,1,1,8,3.77,10,1,0,-,1
264,0,11160000,1,27.9,22.9,8.0,1,1,8,3.22,10,1,0,-,0
265,0,11177287,1,56.4,56.4,-,0,2,-,4.74,6,1,0,-,0
266,0,11200000,3,60.0,46.0,6.5,1,4,5,6.03,12,1,1,0,1
267,0,11200000,3,78.0,43.0,9.0,1,1,9,8.14,7,1,0,1,1
268,0,11200000,1,30.0,16.0,6.0,1,1,8,2.61,7,1,0,1,1
269,0,11249465,1,38.6,20.0,6.0,1,2,7,2.42,8,1,1,-,0
270,0,11300000,2,44.2,31.0,6.0,0,6,9,4.58,5,1,1,-,1
271,0,11300000,4,73.0,51.0,9.0,1,4,5,6.67,10,1,1,1,1
272,0,11368000,2,39.2,-,-,1,7,8,4.82,5,1,0,-,1
273,0,11390000,3,54.0,30.0,-,1,2,5,7.88,5,1,1,-,1
274,0,11400000,1,43.0,20.0,14.0,1,9,12,5.83,5,1,1,1,1
275,0,11400000,1,35.8,15.1,10.0,1,8,12,5.17,5,1,1,-,1
276,0,11500000,2,62.0,52.0,9.0,0,1,5,4.77,7,1,0,0,1
277,0,11500000,2,38.7,23.1,7.0,0,9,12,4.89,5,1,1,1,1
278,0,11500000,1,44.5,24.5,10.0,1,10,14,3.67,10,1,0,1,1
279,0,11500000,2,36.3,21.5,7.7,1,3,9,3.53,5,1,1,-,1
280,0,11500000,2,40.0,23.0,6.0,0,4,9,1.68,3,1,1,1,1
281,0,85000000,5,190.0,152.0,25.0,0,4,5,2.19,7,1,0,1,1
282,0,52000000,3,114.0,53.0,21.0,0,4,6,2.33,6,1,1,-,1
283,0,41400000,1,69.0,41.5,15.0,1,4,7,1.98,3,1,1,1,1
284,0,11500000,2,48.0,17.0,7.0,0,3,9,3.47,8,1,1,1,1
285,0,11500000,1,40.0,19.0,8.0,0,6,17,5.94,1,1,1,1,1
286,0,11500000,1,38.5,15.2,10.7,1,7,12,5.02,7,1,1,1,1
287,0,11500000,2,65.7,38.0,10.0,0,3,6,4.58,7,1,1,1,1
288,0,11530000,2,52.0,36.5,7.0,0,5,8,2.83,5,1,0,1,1
289,0,11561100,1,43.3,16.6,11.7,1,3,19,2.21,10,1,1,-,0
290,0,11650000,3,56.0,34.0,6.2,0,8,9,5.18,11,1,1,1,1
291,0,11650000,2,50.0,33.0,7.0,0,7,12,5.78,5,1,1,1,1
292,0,11690000,1,34.0,17.1,7.0,1,2,8,4.17,3,1,1,1,1
293,0,11700000,2,52.0,34.0,10.0,0,6,14,8.04,15,1,1,0,1
294,0,11720000,1,39.0,17.7,10.0,0,9,16,2.59,9,1,1,1,1
295,0,11777777,2,44.0,32.0,5.5,0,3,5,3.97,2,1,1,1,1
296,0,11800000,2,53.0,30.0,9.0,0,1,12,3.15,6,1,0,1,1
297,0,11850000,2,38.7,23.1,6.5,1,9,12,4.89,3,1,1,1,1
298,0,11890000,2,51.0,29.1,9.4,0,6,12,6.08,10,1,0,1,1
299,0,11900000,2,43.2,28.0,6.0,1,8,9,4.69,8,1,1,1,1
300,0,11900000,2,55.8,37.0,10.0,1,2,5,6.36,13,1,0,1,1
301,0,11900000,2,52.7,31.5,8.1,0,3,16,2.41,3,1,1,1,1
302,0,11950000,2,45.0,29.0,6.0,0,2,9,3.75,5,1,0,0,1
303,0,11980000,2,62.0,33.0,10.0,0,7,7,5.29,2,1,1,0,1
304,0,12000000,2,47.0,30.0,8.0,1,2,6,2.29,6,1,0,-,1
305,0,12000000,1,37.8,14.2,8.1,1,2,14,4.05,4,1,1,1,1
306,0,12000000,2,60.7,36.0,6.7,0,5,16,6.01,8,1,1,-,1
307,0,12000000,2,35.0,25.0,6.0,0,2,8,3.8,4,1,1,1,1
308,0,12000000,3,51.5,33.2,6.0,0,6,9,4.82,8,1,1,1,1
309,0,191722200,5,216.0,136.0,-,0,12,15,5.0,11,1,1,-,1
310,0,111325250,5,460.0,-,-,0,5,8,2.95,9,1,0,-,1
311,0,95000000,5,190.0,130.0,12.0,1,9,14,2.0,5,1,1,0,1
312,0,12000000,1,45.0,22.0,12.0,0,15,18,3.97,3,1,1,1,1
313,0,12000000,3,55.0,45.0,6.4,0,4,12,4.69,3,1,0,0,1
314,0,12000000,2,64.0,38.0,10.0,0,12,12,6.0,4,1,1,1,1
315,0,12000000,2,41.7,24.9,6.5,1,6,9,4.95,10,1,1,-,1
316,0,11999999,2,49.2,32.0,8.0,0,6,7,2.46,7,1,0,1,1
317,0,12006500,3,65.0,44.0,7.0,0,4,16,2.21,5,1,1,-,1
318,0,12050000,3,64.0,40.0,6.3,0,4,9,2.75,6,1,1,-,1
